Item ID,Item Name,Category,Brand,Supplier Name,Purchase Price,Selling Price,Stock Quantity,Reorder Level,Expiry Date,Last Restocked Date,Sales Per Month,Days Since Restock,Stock Cluster
43,Chips,4,1,Patel Suppliers,52.61,65.06,394,43,2023-09-24,2023-01-26,60,873,0
44,Toothpaste,2,3,Verma Distributors,299.45,437.62,233,22,2023-11-01,2023-01-19,8,880,2
45,Wheat Flour,2,4,Verma Distributors,63.7,77.91,11,49,2023-03-21,2023-01-09,20,890,1
46,Milk,0,2,Verma Distributors,431.88,589.81,269,38,2023-03-08,2023-03-02,7,838,2
47,Chips,6,8,Patel Suppliers,126.55,142.14,206,48,2023-03-08,2023-01-27,15,872,2
48,Chips,6,7,Patel Suppliers,387.27,516.38,276,24,2023-03-08,2023-01-27,24,872,2
49,Soap,1,7,Verma Distributors,422.41,559.33,475,34,2023-03-08,2023-01-05,89,894,0
50,Rice,1,8,Sharma Traders,77.03,86.57,359,30,2023-03-08,2023-01-12,32,887,0
51,Soap,3,5,Verma Distributors,27.13,40.44,95,40,2023-10-12,2023-01-12,29,887,1
52,Soap,3,1,Sharma Traders,33.13,43.09,16,47,2023-03-03,2023-01-19,43,880,1
53,Toothpaste,2,9,Agarwal Mart,408.11,465.07,64,30,2023-06-04,2023-02-21,31,847,1
54,Shampoo,1,0,Patel Suppliers,427.36,580.73,188,33,2023-06-04,2023-02-17,46,851,2
55,Milk,5,6,Verma Distributors,478.57,567.65,285,24,2023-04-29,2023-01-07,90,892,2
56,Wheat Flour,4,8,Verma Distributors,163.32,195.07,116,28,2023-04-29,2023-02-11,33,857,1
57,Rice,3,5,Patel Suppliers,268.75,341.23,463,19,2023-12-22,2023-01-18,86,881,0
58,Shampoo,5,3,Gupta Wholesalers,76.49,109.36,310,49,2023-10-07,2023-01-09,100,890,2
59,Milk,5,3,Gupta Wholesalers,24.43,33.55,35,10,2023-05-13,2023-01-02,94,897,1
60,Milk,6,2,Agarwal Mart,330.52,397.72,140,47,2023-05-13,2023-02-10,82,858,1
61,Detergent,4,8,Agarwal Mart,312.59,439.87,93,38,2023-05-13,2023-02-27,27,841,1
62,Pen,2,0,Patel Suppliers,431.01,629.46,259,36,2023-05-14,2023-01-16,68,883,2
63,Toothpaste,5,9,Gupta Wholesalers,343.03,442.77,432,17,2023-05-24,2023-02-04,46,864,0
64,Milk,4,9,Sharma Traders,306.88,383.77,454,20,2023-05-24,2023-01-22,39,877,0
65,Wheat Flour,2,6,Patel Suppliers,294.84,375.88,248,33,2023-11-12,2023-01-03,12,896,2
66,Rice,0,0,Gupta Wholesalers,467.07,552.76,234,18,2023-06-19,2023-01-03,79,896,2
67,Detergent,2,6,Patel Suppliers,105.67,151.05,37,32,2023-07-18,2023-01-02,43,897,1
68,Notebook,1,9,Patel Suppliers,28.5,37.67,276,34,2023-07-18,2023-02-03,94,865,2
69,Shampoo,6,6,Verma Distributors,204.89,237.19,62,42,2023-07-18,2023-02-23,89,845,1
70,Wheat Flour,1,3,Agarwal Mart,68.07,85.3,405,25,2023-07-18,2023-03-01,64,839,0
71,Pen,0,7,Verma Distributors,83.8,107.88,419,23,2023-10-18,2023-02-09,50,859,0
72,Chips,4,7,Verma Distributors,64.77,85.34,499,34,2023-10-18,2023-02-10,47,858,0
73,Notebook,3,3,Agarwal Mart,29.29,38.15,423,25,2023-07-16,2023-02-16,75,852,0
74,Chips,2,3,Sharma Traders,41.85,52.25,137,39,2023-05-21,2023-02-07,24,861,1
75,Notebook,5,1,Gupta Wholesalers,207.07,243.08,280,40,2023-04-08,2023-01-17,95,882,2
76,Pen,6,8,Agarwal Mart,220.39,290.81,353,27,2023-04-08,2023-02-03,24,865,0
77,Rice,5,2,Gupta Wholesalers,404.67,597.99,431,22,2023-05-09,2023-01-28,65,871,0
78,Wheat Flour,6,3,Sharma Traders,479.23,687.14,87,30,2023-05-09,2023-01-24,7,875,1
79,Milk,0,9,Patel Suppliers,356.58,448.88,458,49,2023-09-25,2023-02-02,44,866,0
80,Pen,1,4,Patel Suppliers,307.18,350.79,418,43,2023-09-25,2023-02-01,97,867,0
81,Chips,4,6,Patel Suppliers,378.99,548.84,469,36,2023-09-25,2023-01-31,20,868,0
82,Wheat Flour,2,4,Agarwal Mart,233.7,345.67,219,37,2023-05-05,2023-01-10,76,889,2
83,Detergent,4,3,Agarwal Mart,58.72,78.94,29,40,2023-05-05,2023-02-25,31,843,1
84,Chips,5,5,Agarwal Mart,491.11,558.15,139,35,2023-08-11,2023-01-27,80,872,1
85,Soap,2,2,Gupta Wholesalers,382.83,557.3,291,30,2023-09-18,2023-01-22,18,877,2
86,Milk,6,9,Patel Suppliers,484.84,576.58,391,27,2023-09-18,2023-02-01,20,867,0
87,Milk,6,5,Patel Suppliers,287.53,323.13,240,48,2023-09-18,2023-02-01,26,867,2
88,Toothpaste,6,8,Agarwal Mart,209.66,291.99,251,17,2023-09-18,2023-02-02,77,866,2
89,Detergent,5,5,Agarwal Mart,218.62,327.2,476,32,2023-05-24,2023-02-22,18,846,0
90,Chips,3,7,Gupta Wholesalers,92.69,117.49,73,22,2023-10-03,2023-03-01,27,839,1
91,Detergent,0,2,Sharma Traders,429.49,584.35,37,47,2023-11-02,2023-01-21,90,878,1
92,Wheat Flour,2,1,Sharma Traders,345.99,381.58,463,39,2023-10-21,2023-01-02,60,897,0
93,Wheat Flour,1,0,Verma Distributors,37.42,45.38,350,48,2023-10-21,2023-01-27,10,872,0
94,Shampoo,3,5,Verma Distributors,418.07,512.88,381,30,2023-11-06,2023-02-02,65,866,0
95,Rice,1,9,Agarwal Mart,245.98,278.45,4,22,2023-11-06,2023-02-27,75,841,1
96,Milk,5,7,Sharma Traders,349.85,419.17,42,38,2023-05-07,2023-02-08,21,860,1
97,Rice,1,4,Gupta Wholesalers,421.86,561.32,53,12,2023-05-07,2023-02-04,91,864,1
98,Milk,0,2,Patel Suppliers,49.35,58.94,304,23,2023-10-12,2023-03-01,51,839,2
99,Milk,1,7,Patel Suppliers,424.57,580.55,498,15,2023-10-12,2023-01-11,84,888,0
100,Pen,1,8,Sharma Traders,481.46,607.97,464,46,2023-10-12,2023-01-30,64,869,0
101,Notebook,6,8,Agarwal Mart,264.85,359.09,85,43,2023-10-12,2023-02-02,49,866,1
102,Pen,2,6,Agarwal Mart,76.8,101.06,95,35,2023-03-05,2023-01-07,11,892,1
103,Milk,3,8,Verma Distributors,393.8,578.26,430,26,2023-07-03,2023-02-04,97,864,0
104,Shampoo,5,4,Verma Distributors,28.86,42.33,494,46,2023-03-05,2023-01-30,40,869,0
105,Milk,5,5,Patel Suppliers,329.54,474.82,352,13,2023-08-17,2023-02-11,6,857,0
106,Notebook,6,8,Sharma Traders,341.96,398.24,46,29,2023-08-17,2023-02-11,60,857,1
107,Detergent,1,2,Agarwal Mart,352.51,452.93,106,30,2023-08-17,2023-01-17,68,882,1
108,Toothpaste,5,7,Sharma Traders,187.65,207.19,144,11,2023-08-06,2023-02-24,11,844,1
109,Toothpaste,3,9,Patel Suppliers,431.42,605.23,367,38,2023-03-24,2023-01-03,14,896,0
110,Wheat Flour,2,5,Gupta Wholesalers,482.0,719.61,358,20,2023-07-24,2023-01-31,12,868,0
111,Wheat Flour,5,4,Verma Distributors,49.74,74.02,23,15,2023-04-21,2023-02-03,95,865,1
112,Detergent,3,3,Agarwal Mart,290.86,383.25,50,13,2023-02-03,2023-01-02,41,897,1
113,Shampoo,4,4,Agarwal Mart,300.3,374.99,13,21,2023-02-03,2023-01-29,9,870,1
114,Milk,6,3,Patel Suppliers,289.59,377.74,256,30,2023-02-03,2023-02-08,45,860,2
115,Shampoo,0,6,Sharma Traders,310.03,377.26,355,48,2023-12-02,2023-01-16,96,883,0
116,Wheat Flour,6,9,Verma Distributors,404.17,444.7,106,48,2023-12-02,2023-02-04,23,864,1
117,Detergent,6,2,Verma Distributors,79.64,97.1,4,47,2023-12-02,2023-01-13,9,886,1
118,Notebook,4,4,Gupta Wholesalers,244.82,362.18,231,11,2023-12-02,2023-01-12,58,887,2
119,Shampoo,0,4,Agarwal Mart,221.72,318.26,431,40,2023-03-14,2023-01-11,18,888,0
120,Detergent,0,4,Verma Distributors,437.48,486.99,462,29,2023-07-17,2023-02-03,39,865,0
121,Chips,5,4,Patel Suppliers,203.58,302.69,174,24,2023-03-12,2023-01-02,84,897,2
122,Chips,2,1,Sharma Traders,188.88,279.63,177,46,2023-03-12,2023-02-04,91,864,2
123,Pen,4,3,Gupta Wholesalers,40.34,57.62,198,20,2023-03-12,2023-01-31,51,868,2
124,Wheat Flour,2,2,Patel Suppliers,265.45,345.22,99,49,2023-06-16,2023-01-04,68,895,1
125,Chips,0,9,Patel Suppliers,446.84,537.84,239,27,2023-07-08,2023-02-04,83,864,2
126,Pen,5,1,Gupta Wholesalers,378.51,494.6,362,23,2023-07-09,2023-02-04,65,864,0
127,Soap,1,9,Patel Suppliers,347.04,415.12,214,44,2023-07-09,2023-01-10,66,889,2
128,Milk,5,5,Agarwal Mart,13.02,15.51,408,40,2023-11-06,2023-02-24,57,844,0
129,Milk,1,8,Patel Suppliers,426.99,475.41,69,24,2023-11-06,2023-02-21,14,847,1
130,Toothpaste,5,1,Gupta Wholesalers,208.63,269.83,280,15,2023-05-11,2023-01-29,56,870,2
131,Toothpaste,3,0,Sharma Traders,326.4,388.09,302,50,2023-10-30,2023-02-02,65,866,2
132,Pen,4,7,Verma Distributors,343.72,490.25,277,28,2023-10-30,2023-01-20,35,879,2
133,Milk,1,0,Gupta Wholesalers,261.19,377.34,222,10,2023-10-30,2023-02-11,81,857,2
134,Toothpaste,6,8,Gupta Wholesalers,61.41,68.67,288,21,2023-10-30,2023-02-18,78,850,2
135,Notebook,4,5,Verma Distributors,219.63,308.7,3,15,2023-10-30,2023-03-01,29,839,1
136,Soap,6,0,Gupta Wholesalers,309.52,456.14,363,36,2023-10-30,2023-02-23,78,845,0
137,Chips,5,9,Gupta Wholesalers,229.05,327.91,96,12,2023-07-18,2023-02-04,65,864,1
138,Soap,1,0,Gupta Wholesalers,410.71,546.24,144,48,2023-07-18,2023-02-06,49,862,1
139,Wheat Flour,5,5,Patel Suppliers,480.07,606.33,93,27,2023-10-27,2023-01-19,82,880,1
140,Rice,2,0,Gupta Wholesalers,194.29,268.11,338,10,2023-10-20,2023-01-28,69,871,0
141,Rice,5,8,Agarwal Mart,92.69,119.53,386,10,2023-03-09,2023-01-06,53,893,0
142,Rice,6,2,Verma Distributors,401.96,451.16,308,42,2023-03-09,2023-02-07,85,861,2
143,Wheat Flour,2,8,Sharma Traders,192.44,212.82,325,44,2023-04-19,2023-01-09,80,890,2
144,Pen,4,4,Patel Suppliers,15.92,19.78,486,21,2023-04-19,2023-02-22,27,846,0
145,Milk,0,0,Verma Distributors,467.27,635.84,39,46,2023-04-25,2023-02-05,57,863,1
146,Pen,5,4,Gupta Wholesalers,222.48,255.21,145,39,2023-07-14,2023-02-12,55,856,1
147,Chips,1,6,Verma Distributors,362.04,519.7,430,30,2023-07-14,2023-01-27,30,872,0
148,Detergent,1,1,Verma Distributors,360.26,486.84,357,24,2023-07-14,2023-01-10,67,889,0
149,Pen,2,9,Gupta Wholesalers,381.62,473.25,76,26,2023-03-14,2023-01-08,21,891,1
150,Shampoo,3,2,Agarwal Mart,433.39,516.07,190,23,2023-08-10,2023-02-20,11,848,2
151,Soap,1,6,Agarwal Mart,364.17,467.08,412,27,2023-08-10,2023-02-11,97,857,0
152,Chips,3,0,Agarwal Mart,74.29,105.84,356,22,2024-01-01,2023-01-09,21,890,0
153,Pen,3,9,Gupta Wholesalers,388.44,468.71,194,47,2023-06-08,2023-02-23,28,845,2
154,Detergent,1,3,Gupta Wholesalers,151.88,223.39,245,40,2023-06-08,2023-02-06,37,862,2
155,Detergent,5,0,Patel Suppliers,484.75,545.88,435,43,2023-11-04,2023-02-15,6,853,0
156,Wheat Flour,4,7,Gupta Wholesalers,49.05,54.56,409,36,2023-11-04,2023-01-15,69,884,0
157,Notebook,1,8,Verma Distributors,47.32,55.36,143,22,2023-11-04,2023-02-06,65,862,1
158,Shampoo,3,8,Patel Suppliers,200.45,230.46,292,45,2023-07-04,2023-02-07,43,861,2
159,Chips,5,9,Gupta Wholesalers,414.28,466.65,481,49,2023-09-08,2023-01-04,6,895,0
160,Detergent,2,8,Agarwal Mart,358.16,419.83,305,25,2023-11-27,2023-01-25,59,874,2
161,Rice,3,0,Verma Distributors,226.98,268.8,26,20,2023-05-21,2023-02-23,60,845,1
162,Milk,0,0,Gupta Wholesalers,487.15,714.01,135,26,2023-07-29,2023-02-26,34,842,1
163,Notebook,1,2,Patel Suppliers,110.94,150.98,215,16,2023-07-29,2023-02-04,55,864,2
164,Chips,2,8,Gupta Wholesalers,200.49,227.52,492,22,2023-09-24,2023-01-15,42,884,0
165,Shampoo,2,7,Verma Distributors,327.13,482.97,267,11,2023-10-20,2023-02-10,36,858,2
166,Pen,3,4,Gupta Wholesalers,22.32,32.59,69,27,2023-12-02,2023-01-05,83,894,1
167,Milk,0,7,Verma Distributors,318.99,366.02,106,43,2023-03-05,2023-02-04,19,864,1
168,Pen,6,3,Agarwal Mart,479.66,670.28,456,44,2023-03-05,2023-02-26,49,842,0
169,Detergent,4,1,Sharma Traders,328.56,444.02,436,50,2023-03-05,2023-02-02,73,866,0
170,Milk,1,5,Patel Suppliers,143.7,206.79,311,33,2023-03-05,2023-01-21,27,878,2
171,Soap,1,4,Patel Suppliers,67.87,100.14,388,27,2023-03-05,2023-01-13,19,886,0
172,Detergent,1,3,Sharma Traders,27.93,35.4,1,24,2023-03-05,2023-01-04,30,895,1
173,Milk,1,0,Verma Distributors,452.49,559.73,500,14,2023-03-05,2023-01-14,92,885,0
174,Chips,0,5,Patel Suppliers,29.13,43.42,267,21,2023-12-22,2023-01-14,65,885,2
175,Wheat Flour,0,8,Patel Suppliers,62.37,87.76,463,28,2023-11-25,2023-02-12,37,856,0
176,Pen,1,7,Verma Distributors,281.95,419.42,159,15,2023-11-25,2023-02-14,44,854,1
177,Wheat Flour,6,0,Gupta Wholesalers,47.43,64.43,340,39,2023-11-25,2023-03-01,50,839,0
178,Soap,3,2,Verma Distributors,238.98,263.75,310,49,2023-02-26,2023-02-02,66,866,2
179,Wheat Flour,0,9,Patel Suppliers,44.8,55.83,235,21,2023-03-08,2023-02-18,78,850,2
180,Toothpaste,3,4,Verma Distributors,101.05,119.18,62,24,2023-02-12,2023-01-20,20,879,1
181,Detergent,2,8,Gupta Wholesalers,362.99,434.48,252,18,2023-10-15,2023-02-01,85,867,2
182,Pen,4,2,Gupta Wholesalers,181.38,251.5,158,48,2023-10-15,2023-01-05,94,894,1
183,Detergent,3,3,Sharma Traders,323.12,364.16,297,15,2023-05-12,2023-01-11,48,888,2
184,Milk,1,6,Agarwal Mart,204.39,259.24,88,50,2023-05-12,2023-01-18,39,881,1
185,Toothpaste,2,5,Patel Suppliers,35.77,49.93,153,33,2023-11-03,2023-01-16,49,883,1
186,Wheat Flour,2,0,Verma Distributors,416.71,463.4,374,46,2023-07-04,2023-02-24,95,844,0
187,Shampoo,2,4,Gupta Wholesalers,475.06,712.12,30,10,2023-05-13,2023-02-27,73,841,1
188,Toothpaste,0,8,Agarwal Mart,286.38,429.39,439,44,2023-08-05,2023-02-12,55,856,0
189,Shampoo,6,6,Gupta Wholesalers,68.0,74.91,251,30,2023-08-05,2023-02-05,56,863,2
190,Rice,3,5,Patel Suppliers,46.26,59.7,124,10,2023-06-02,2023-01-30,35,869,1
191,Shampoo,6,0,Patel Suppliers,257.77,317.5,203,13,2023-06-02,2023-01-15,78,884,2
192,Soap,1,0,Sharma Traders,28.69,32.8,497,37,2023-06-02,2023-03-02,53,838,0
193,Toothpaste,1,3,Gupta Wholesalers,171.74,218.21,127,27,2023-06-02,2023-02-09,79,859,1
194,Milk,6,2,Verma Distributors,213.15,305.0,236,34,2023-06-02,2023-02-05,82,863,2
195,Milk,6,4,Verma Distributors,379.85,509.04,138,36,2023-06-02,2023-02-21,17,847,1
196,Wheat Flour,0,2,Agarwal Mart,108.28,150.3,270,18,2023-06-10,2023-02-23,44,845,2
197,Wheat Flour,1,1,Agarwal Mart,403.54,582.76,94,21,2023-06-10,2023-01-03,37,896,1
198,Chips,2,4,Gupta Wholesalers,101.27,130.86,360,28,2023-12-29,2023-01-20,41,879,0
199,Chips,0,3,Verma Distributors,348.37,499.11,266,16,2023-02-12,2023-02-08,31,860,2
200,Detergent,4,8,Patel Suppliers,317.17,354.35,314,43,2023-02-12,2023-01-10,37,889,2
201,Rice,0,0,Verma Distributors,280.51,381.48,226,23,2023-10-18,2023-01-27,42,872,2
202,Notebook,0,4,Agarwal Mart,190.31,270.12,94,45,2023-10-10,2023-01-20,21,879,1
203,Notebook,0,1,Sharma Traders,110.53,164.14,298,38,2023-03-22,2023-01-04,46,895,2
204,Pen,6,6,Agarwal Mart,77.11,108.49,114,33,2023-03-22,2023-01-04,22,895,1
205,Milk,2,7,Patel Suppliers,444.63,603.18,67,44,2023-11-19,2023-01-29,62,870,1
206,Notebook,3,5,Gupta Wholesalers,369.44,543.35,10,43,2023-11-21,2023-01-10,28,889,1
207,Pen,4,1,Verma Distributors,478.2,688.61,71,21,2023-11-21,2023-02-19,38,849,1
208,Pen,5,2,Verma Distributors,132.8,154.9,432,27,2023-08-11,2023-01-15,86,884,0
209,Rice,1,5,Sharma Traders,281.37,392.12,303,12,2023-08-11,2023-02-01,39,867,2
210,Pen,6,7,Verma Distributors,112.19,148.19,131,12,2023-08-11,2023-01-21,94,878,1
211,Chips,5,0,Verma Distributors,416.85,529.58,306,50,2023-07-05,2023-02-20,17,848,2
212,Wheat Flour,5,0,Agarwal Mart,58.51,70.22,219,11,2023-12-16,2023-03-01,39,839,2
213,Toothpaste,5,5,Agarwal Mart,295.51,407.49,493,21,2023-09-04,2023-01-26,40,873,0
214,Soap,5,0,Agarwal Mart,108.82,162.8,48,25,2023-08-05,2023-01-07,15,892,1
215,Chips,4,6,Sharma Traders,372.12,462.14,393,37,2023-08-05,2023-02-18,66,850,0
216,Detergent,3,9,Gupta Wholesalers,455.83,661.02,289,48,2023-05-23,2023-01-14,33,885,2
217,Pen,2,6,Gupta Wholesalers,152.84,177.3,312,13,2023-03-11,2023-01-28,94,871,2
218,Chips,3,4,Gupta Wholesalers,287.92,422.15,393,27,2023-05-30,2023-01-20,11,879,0
219,Milk,5,4,Gupta Wholesalers,460.77,689.01,109,33,2023-11-10,2023-02-02,44,866,1
220,Pen,2,4,Verma Distributors,29.83,41.22,264,25,2023-08-21,2023-02-11,57,857,2
221,Chips,1,8,Patel Suppliers,199.31,282.54,226,49,2023-08-21,2023-02-23,47,845,2
222,Toothpaste,3,1,Verma Distributors,451.4,593.0,37,45,2023-05-26,2023-02-15,18,853,1
223,Milk,2,5,Sharma Traders,304.19,352.98,240,30,2023-07-31,2023-01-28,100,871,2
224,Pen,3,3,Gupta Wholesalers,92.59,105.5,20,46,2023-05-18,2023-01-20,17,879,1
225,Chips,6,9,Agarwal Mart,192.22,265.69,438,19,2023-05-18,2023-02-04,9,864,0
226,Shampoo,2,3,Gupta Wholesalers,350.3,450.61,234,13,2023-11-25,2023-01-20,16,879,2
227,Soap,3,7,Gupta Wholesalers,233.11,265.12,250,26,2023-02-19,2023-01-11,15,888,2
228,Detergent,6,9,Verma Distributors,320.06,375.18,212,15,2023-02-19,2023-01-29,29,870,2
229,Rice,4,3,Sharma Traders,238.6,320.64,218,45,2023-02-19,2023-01-16,18,883,2
230,Shampoo,4,7,Patel Suppliers,380.45,566.79,330,15,2023-02-19,2023-01-15,54,884,2
231,Toothpaste,4,9,Verma Distributors,28.3,38.68,371,22,2023-02-19,2023-02-11,40,857,0
232,Milk,4,7,Verma Distributors,140.87,158.67,66,23,2023-02-19,2023-02-21,20,847,1
233,Soap,5,6,Gupta Wholesalers,343.64,434.85,406,49,2023-06-22,2023-02-13,79,855,0
234,Shampoo,6,5,Sharma Traders,330.76,477.16,10,47,2023-06-22,2023-02-25,70,843,1
235,Milk,4,2,Agarwal Mart,364.03,541.11,170,19,2023-06-22,2023-02-11,94,857,1
236,Wheat Flour,2,8,Verma Distributors,494.08,571.45,497,47,2023-08-31,2023-01-18,45,881,0
237,Chips,4,9,Patel Suppliers,447.0,554.19,377,45,2023-08-31,2023-02-26,71,842,0
238,Notebook,6,9,Patel Suppliers,438.33,489.52,292,39,2023-08-31,2023-02-16,38,852,2
239,Soap,0,3,Agarwal Mart,23.61,29.74,226,37,2023-10-18,2023-02-28,12,840,2
240,Toothpaste,0,9,Sharma Traders,341.33,503.25,350,17,2023-10-26,2023-01-06,65,893,0
241,Rice,3,3,Sharma Traders,146.74,167.12,189,15,2023-02-19,2023-01-12,75,887,2
242,Soap,5,1,Gupta Wholesalers,333.44,424.4,192,29,2023-03-03,2023-01-26,40,873,2
243,Soap,2,0,Verma Distributors,207.81,301.41,341,27,2023-06-30,2023-01-28,65,871,0
244,Pen,0,8,Verma Distributors,353.96,525.17,274,45,2023-08-01,2023-01-12,80,887,2
245,Toothpaste,2,1,Sharma Traders,252.24,341.17,68,50,2023-10-05,2023-01-21,71,878,1
246,Detergent,5,3,Sharma Traders,146.76,192.9,139,10,2023-06-03,2023-02-24,54,844,1
247,Soap,5,7,Agarwal Mart,238.4,322.8,212,14,2023-11-07,2023-01-02,5,897,2
248,Toothpaste,2,1,Patel Suppliers,288.57,390.5,477,41,2023-07-13,2023-01-10,15,889,0
249,Shampoo,6,2,Verma Distributors,226.86,338.15,156,37,2023-07-13,2023-01-19,75,880,1
250,Milk,0,9,Patel Suppliers,308.73,396.31,34,20,2023-07-04,2023-01-11,91,888,1
251,Detergent,1,3,Verma Distributors,71.17,88.17,404,47,2023-07-04,2023-01-14,93,885,0
252,Shampoo,5,1,Verma Distributors,412.91,498.47,454,42,2023-02-28,2023-02-27,51,841,0
253,Chips,6,4,Patel Suppliers,19.16,27.08,187,36,2023-02-28,2023-02-10,18,858,2
254,Chips,1,1,Patel Suppliers,98.97,145.83,347,27,2023-02-28,2023-01-11,59,888,0
255,Rice,5,1,Sharma Traders,193.86,214.76,499,31,2023-11-22,2023-01-21,12,878,0
256,Soap,6,8,Patel Suppliers,169.85,191.09,364,45,2023-11-22,2023-01-28,84,871,0
257,Shampoo,2,6,Sharma Traders,127.03,171.3,13,37,2023-02-16,2023-01-11,33,888,1
258,Shampoo,3,8,Sharma Traders,372.12,444.55,144,10,2023-08-15,2023-01-08,86,891,1
259,Milk,6,6,Verma Distributors,300.88,419.05,250,11,2023-08-15,2023-01-18,22,881,2
260,Rice,3,8,Patel Suppliers,167.68,209.38,125,39,2023-08-06,2023-01-16,74,883,1
261,Notebook,6,1,Patel Suppliers,143.57,163.27,403,17,2023-08-06,2023-02-16,18,852,0
262,Wheat Flour,2,1,Gupta Wholesalers,398.9,478.28,347,29,2023-09-13,2023-01-29,32,870,0
263,Detergent,6,8,Gupta Wholesalers,166.69,212.97,466,32,2023-09-13,2023-01-17,54,882,0
264,Milk,2,5,Sharma Traders,233.67,310.91,310,49,2023-12-10,2023-01-07,24,892,2
265,Rice,6,2,Agarwal Mart,247.94,359.42,214,37,2023-12-10,2023-02-28,80,840,2
