Item ID,Item Name,Category,Brand,Supplier Name,Purchase Price,Selling Price,Stock Quantity,Reorder Level,Expiry Date,Last Restocked Date,Sales Per Month
323,Milk,Electronics,Dabur,Sharma Traders,93.2,118.91,172,37,2024-02-21,2023-01-15,74
9924,Chips,Household,Amul,Agarwal Mart,41.43,58.89,130,10,2024-02-21,2023-01-24,10
7460,Wheat Flour,Personal Care,Dabur,Verma Distributors,400.11,563.45,4,28,2023-07-12,2023-01-20,92
19025,Chips,Stationery,Nestle,Agarwal Mart,27.85,39.53,412,10,2024-02-21,2023-02-15,99
17554,Notebook,Stationery,Tata,Agarwal Mart,141.42,200.96,271,34,2024-02-21,2023-01-12,33
9120,Chips,Fmcg,Parle,Verma Distributors,403.09,519.57,495,12,2023-03-29,2023-02-24,61
16422,Milk,Household,Tata,Sharma Traders,499.21,707.49,254,45,2024-02-21,2023-01-05,99
16061,Soap,Electronics,Amul,Verma Distributors,66.42,75.94,342,43,2024-02-21,2023-02-13,16
10121,Notebook,Household,Itc,Gupta Wholesalers,383.02,470.28,369,34,2024-02-21,2023-02-19,44
19056,Pen,Stationery,Amul,Verma Distributors,83.53,101.5,362,50,2024-02-21,2023-01-03,37
3650,Shampoo,Grocery,Itc,Patel Suppliers,162.5,218.11,327,23,2023-06-05,2023-01-29,39
3942,Pen,Electronics,Tata,Agarwal Mart,408.26,462.92,434,11,2024-02-21,2023-02-07,81
17881,Chips,Fmcg,Dabur,Gupta Wholesalers,334.03,434.95,248,50,2023-04-25,2023-01-15,30
16676,Wheat Flour,Stationery,Itc,Patel Suppliers,283.86,386.14,321,24,2024-02-21,2023-01-07,76
12631,Milk,Stationery,Amul,Patel Suppliers,443.34,578.74,126,33,2024-02-21,2023-02-22,44
11444,Milk,Electronics,Tata,Agarwal Mart,81.55,92.43,126,15,2024-02-21,2023-02-19,27
12158,Toothpaste,Grocery,Haldiram,Gupta Wholesalers,211.27,239.75,299,17,2023-02-08,2023-02-13,51
13836,Pen,Personal Care,Amul,Patel Suppliers,239.42,266.74,20,48,2023-03-18,2023-02-28,77
3435,Milk,Grocery,Tata,Sharma Traders,319.46,431.99,49,43,2023-07-05,2023-01-17,49
18740,Notebook,Electronics,Parle,Sharma Traders,337.68,437.37,417,22,2024-02-21,2023-01-09,57
17408,Shampoo,Grocery,Britannia,Gupta Wholesalers,400.12,528.39,346,17,2023-11-26,2023-01-07,71
15441,Wheat Flour,Grocery,Tata,Verma Distributors,77.07,97.63,324,21,2023-10-05,2023-02-27,19
10407,Rice,Electronics,Britannia,Gupta Wholesalers,56.56,81.47,402,31,2024-02-21,2023-02-15,90
6518,Toothpaste,Grocery,Dabur,Gupta Wholesalers,346.22,431.42,61,22,2023-11-05,2023-02-05,55
972,Chips,Beverages,Haldiram,Verma Distributors,428.92,573.97,402,16,2023-07-25,2023-01-28,83
16488,Shampoo,Stationery,Britannia,Sharma Traders,335.36,387.66,340,37,2024-02-21,2023-02-21,70
19731,Pen,Stationery,Haldiram,Patel Suppliers,381.84,492.24,210,20,2024-02-21,2023-01-26,55
13138,Notebook,Beverages,Itc,Patel Suppliers,489.45,592.47,295,26,2023-11-22,2023-02-02,18
3670,Shampoo,Beverages,Parle,Verma Distributors,326.98,414.12,156,35,2023-10-25,2023-02-02,61
15984,Rice,Personal Care,Haldiram,Verma Distributors,333.2,409.66,488,41,2023-05-20,2023-02-06,29
4059,Milk,Grocery,Dabur,Agarwal Mart,367.17,499.94,482,30,2023-02-07,2023-01-10,82
14977,Soap,Fmcg,Godrej,Gupta Wholesalers,59.5,72.11,220,40,2023-02-11,2023-01-17,92
15699,Rice,Beverages,Britannia,Sharma Traders,394.24,517.24,229,26,2023-03-12,2023-02-22,89
13830,Detergent,Personal Care,Dabur,Verma Distributors,454.95,656.36,67,12,2023-07-21,2023-01-25,22
13420,Pen,Electronics,Dabur,Agarwal Mart,204.49,236.68,174,31,2024-02-21,2023-03-02,71
961,Notebook,Electronics,Dabur,Patel Suppliers,293.08,322.84,149,45,2024-02-21,2023-02-07,10
17745,Chips,Electronics,Dabur,Gupta Wholesalers,416.01,476.35,390,21,2024-02-21,2023-01-21,75
9865,Wheat Flour,Household,Dabur,Agarwal Mart,29.01,40.63,343,37,2024-02-21,2023-01-21,24
11264,Pen,Personal Care,Tata,Agarwal Mart,46.23,53.4,217,32,2023-04-11,2023-02-09,74
15783,Shampoo,Electronics,Tata,Patel Suppliers,439.65,623.29,43,27,2024-02-21,2023-02-18,40
17197,Notebook,Grocery,Dabur,Agarwal Mart,290.52,411.84,413,34,2023-08-17,2023-01-20,85
7555,Shampoo,Household,Colgate,Agarwal Mart,419.4,575.79,88,31,2024-02-21,2023-02-12,39
10499,Pen,Electronics,Britannia,Agarwal Mart,17.6,22.99,389,13,2024-02-21,2023-03-02,99
17060,Pen,Electronics,Itc,Patel Suppliers,263.31,337.71,146,14,2024-02-21,2023-02-22,6
17929,Pen,Personal Care,Tata,Patel Suppliers,437.74,608.03,45,43,2023-05-31,2023-02-28,8
7086,Soap,Beverages,Haldiram,Patel Suppliers,181.63,228.25,22,11,2023-12-03,2023-01-12,81
14754,Shampoo,Stationery,Amul,Verma Distributors,150.87,178.64,55,30,2024-02-21,2023-01-10,96
4520,Wheat Flour,Grocery,Godrej,Verma Distributors,117.82,152.57,367,18,2023-06-23,2023-02-03,66
3025,Rice,Beverages,Dabur,Verma Distributors,19.26,21.5,369,29,2023-02-16,2023-01-22,16
12122,Wheat Flour,Stationery,Parle,Verma Distributors,71.38,85.99,15,45,2024-02-21,2023-01-14,16
18495,Detergent,Beverages,Tata,Agarwal Mart,117.07,140.58,429,20,2023-06-07,2023-02-06,76
5484,Rice,Stationery,Tata,Sharma Traders,81.64,90.28,366,39,2024-02-21,2023-02-06,44
1420,Milk,Electronics,Dabur,Agarwal Mart,41.4,59.85,420,11,2024-02-21,2023-01-03,16
6210,Soap,Fmcg,Tata,Patel Suppliers,317.51,389.27,293,34,2023-12-01,2023-01-25,36
10743,Shampoo,Electronics,Itc,Sharma Traders,198.09,289.99,170,28,2024-02-21,2023-02-22,15
16144,Rice,Household,Tata,Gupta Wholesalers,419.2,487.12,14,39,2024-02-21,2023-02-09,60
17618,Toothpaste,Stationery,Parle,Gupta Wholesalers,477.86,589.67,72,37,2024-02-21,2023-02-10,31
14569,Detergent,Beverages,Britannia,Agarwal Mart,62.13,82.92,270,44,2023-09-21,2023-02-05,14
981,Soap,Beverages,Parle,Verma Distributors,352.46,440.65,135,30,2023-05-26,2023-02-22,15
2784,Soap,Stationery,Nestle,Verma Distributors,287.59,340.09,16,24,2024-02-21,2023-01-24,7
7714,Shampoo,Household,Britannia,Gupta Wholesalers,68.66,83.27,17,19,2024-02-21,2023-01-07,24
11519,Notebook,Beverages,Amul,Patel Suppliers,234.15,277.81,331,49,2023-10-17,2023-02-17,63
8601,Rice,Beverages,Britannia,Agarwal Mart,360.96,448.01,18,24,2023-11-02,2023-02-06,16
11641,Shampoo,Grocery,Itc,Verma Distributors,475.38,601.0,87,11,2023-12-22,2023-01-08,39
18831,Wheat Flour,Beverages,Colgate,Gupta Wholesalers,283.34,313.5,104,30,2023-08-09,2023-02-07,72
12563,Rice,Household,Colgate,Gupta Wholesalers,321.86,394.22,312,42,2024-02-21,2023-01-20,15
12752,Chips,Stationery,Amul,Sharma Traders,72.16,86.46,425,30,2024-02-21,2023-01-24,42
6385,Milk,Fmcg,Godrej,Agarwal Mart,264.61,350.03,112,32,2023-02-09,2023-01-17,99
4808,Detergent,Beverages,Godrej,Gupta Wholesalers,23.35,30.68,316,12,2023-09-20,2023-01-25,76
6196,Toothpaste,Stationery,Parle,Gupta Wholesalers,381.39,530.34,174,15,2024-02-21,2023-01-27,91
10649,Chips,Electronics,Nestle,Sharma Traders,103.93,122.99,64,45,2024-02-21,2023-03-01,47
7568,Shampoo,Stationery,Nestle,Gupta Wholesalers,458.45,540.17,225,36,2024-02-21,2023-01-10,63
16398,Milk,Fmcg,Amul,Sharma Traders,218.95,319.29,13,42,2023-07-26,2023-02-27,9
17525,Notebook,Beverages,Britannia,Sharma Traders,345.07,429.1,388,40,2023-12-23,2023-02-27,71
1347,Shampoo,Household,Amul,Sharma Traders,287.07,409.65,140,49,2024-02-21,2023-02-24,27
13125,Detergent,Fmcg,Amul,Sharma Traders,415.63,495.18,419,12,2023-10-31,2023-02-02,59
12674,Pen,Beverages,Haldiram,Agarwal Mart,128.44,144.17,465,37,2023-07-07,2023-01-02,37
15456,Wheat Flour,Stationery,Britannia,Agarwal Mart,472.17,657.89,409,29,2024-02-21,2023-01-10,68
14002,Shampoo,Electronics,Amul,Gupta Wholesalers,62.24,84.54,324,38,2024-02-21,2023-01-30,18
18622,Notebook,Personal Care,Colgate,Gupta Wholesalers,457.21,664.23,274,12,2023-08-09,2023-01-30,44
2120,Soap,Personal Care,Haldiram,Verma Distributors,156.47,186.53,255,28,2023-02-15,2023-01-16,23
15305,Detergent,Stationery,Godrej,Agarwal Mart,302.83,377.55,403,30,2024-02-21,2023-01-04,83
4310,Shampoo,Grocery,Colgate,Agarwal Mart,158.05,185.04,224,22,2023-07-15,2023-01-02,56
4485,Pen,Grocery,Tata,Sharma Traders,256.46,329.62,141,19,2023-03-02,2023-01-15,64
11014,Shampoo,Fmcg,Nestle,Patel Suppliers,278.41,344.71,127,22,2023-10-10,2023-01-08,97
4771,Chips,Fmcg,Tata,Agarwal Mart,379.96,419.37,278,21,2023-06-12,2023-02-22,78
2713,Milk,Beverages,Britannia,Sharma Traders,215.97,285.65,166,39,2023-10-29,2023-01-18,85
12187,Shampoo,Household,Haldiram,Gupta Wholesalers,206.92,246.37,368,22,2024-02-21,2023-02-17,39
16616,Shampoo,Personal Care,Britannia,Sharma Traders,445.01,565.64,107,21,2023-12-29,2023-01-04,35
10948,Wheat Flour,Household,Parle,Patel Suppliers,89.65,107.54,85,49,2024-02-21,2023-02-02,39
2546,Rice,Stationery,Itc,Patel Suppliers,364.46,436.36,16,46,2024-02-21,2023-01-23,92
12620,Rice,Household,Colgate,Gupta Wholesalers,292.98,421.13,424,30,2024-02-21,2023-02-03,90
9852,Detergent,Fmcg,Parle,Patel Suppliers,86.45,101.41,122,36,2023-03-06,2023-01-28,54
4411,Wheat Flour,Personal Care,Haldiram,Agarwal Mart,453.77,663.83,397,45,2023-04-01,2023-03-02,5
19648,Detergent,Electronics,Nestle,Gupta Wholesalers,239.64,341.37,111,31,2024-02-21,2023-02-11,93
12345,Milk,Fmcg,Nestle,Agarwal Mart,229.01,294.55,359,19,2023-09-03,2023-02-23,18
12408,Toothpaste,Grocery,Haldiram,Patel Suppliers,37.07,50.1,150,17,2023-09-02,2023-02-23,51
9611,Toothpaste,Personal Care,Godrej,Patel Suppliers,292.36,412.08,108,48,2023-03-02,2023-01-25,28
10719,Shampoo,Beverages,Itc,Verma Distributors,476.31,575.69,34,13,2023-07-14,2023-02-06,29
7572,Pen,Fmcg,Haldiram,Gupta Wholesalers,241.21,333.33,134,50,2023-11-25,2023-02-07,18
3571,Notebook,Grocery,Parle,Sharma Traders,212.23,307.54,184,11,2023-10-11,2023-02-07,94
8603,Milk,Grocery,Colgate,Gupta Wholesalers,225.56,251.6,202,39,2023-02-18,2023-03-01,12
3560,Detergent,Stationery,Colgate,Agarwal Mart,114.24,129.73,496,15,2024-02-21,2023-01-31,58
4992,Pen,Electronics,Itc,Gupta Wholesalers,302.26,430.93,202,14,2024-02-21,2023-02-28,33
7440,Wheat Flour,Household,Haldiram,Sharma Traders,126.01,144.17,349,38,2024-02-21,2023-02-04,56
9326,Detergent,Grocery,Haldiram,Agarwal Mart,193.34,255.39,209,25,2023-11-17,2023-03-02,35
2301,Shampoo,Fmcg,Amul,Agarwal Mart,160.22,236.69,366,42,2023-11-15,2023-01-26,99
7667,Rice,Fmcg,Tata,Sharma Traders,29.9,35.64,402,24,2023-04-29,2023-01-10,47
5805,Wheat Flour,Household,Colgate,Sharma Traders,283.48,337.04,337,37,2024-02-21,2023-02-03,64
12023,Notebook,Beverages,Godrej,Patel Suppliers,189.89,276.6,201,29,2023-10-20,2023-02-04,83
15538,Soap,Stationery,Colgate,Patel Suppliers,242.34,296.15,114,49,2024-02-21,2023-01-28,45
9758,Shampoo,Personal Care,Colgate,Gupta Wholesalers,85.56,94.79,216,44,2023-12-23,2023-02-28,81
12015,Detergent,Electronics,Amul,Gupta Wholesalers,491.87,689.15,302,11,2024-02-21,2023-01-26,89
5212,Chips,Grocery,Godrej,Gupta Wholesalers,257.95,377.98,257,25,2023-06-02,2023-01-03,45
11549,Notebook,Household,Nestle,Gupta Wholesalers,470.06,676.86,232,39,2024-02-21,2023-02-08,81
12367,Toothpaste,Stationery,Britannia,Agarwal Mart,292.59,322.71,251,13,2024-02-21,2023-01-02,9
9271,Rice,Beverages,Itc,Sharma Traders,186.11,243.68,194,42,2023-08-07,2023-02-09,36
3976,Detergent,Stationery,Britannia,Sharma Traders,361.02,497.08,297,39,2024-02-21,2023-01-26,94
16091,Rice,Electronics,Itc,Agarwal Mart,166.74,184.81,330,48,2024-02-21,2023-01-06,93
17233,Soap,Beverages,Britannia,Patel Suppliers,208.41,253.58,162,10,2023-03-10,2023-02-18,55
17444,Wheat Flour,Fmcg,Nestle,Gupta Wholesalers,472.16,544.88,383,20,2023-02-22,2023-02-12,47
13657,Pen,Stationery,Tata,Gupta Wholesalers,297.14,354.45,309,25,2024-02-21,2023-02-10,9
15646,Rice,Household,Parle,Agarwal Mart,111.25,150.82,308,48,2024-02-21,2023-02-20,11
2731,Detergent,Beverages,Britannia,Agarwal Mart,214.38,294.3,498,49,2023-11-15,2023-02-17,21
3299,Chips,Household,Dabur,Gupta Wholesalers,251.8,317.02,382,39,2024-02-21,2023-02-26,95
8957,Shampoo,Fmcg,Parle,Agarwal Mart,464.9,630.14,112,48,2023-03-08,2023-01-25,67
17411,Rice,Fmcg,Nestle,Sharma Traders,452.7,624.66,345,44,2023-03-25,2023-02-04,7
15156,Chips,Grocery,Itc,Gupta Wholesalers,348.85,518.04,237,18,2023-11-24,2023-01-18,46
17277,Wheat Flour,Household,Itc,Gupta Wholesalers,136.66,155.03,201,12,2024-02-21,2023-01-13,53
6704,Toothpaste,Fmcg,Amul,Patel Suppliers,291.99,383.83,40,15,2023-07-27,2023-01-05,43
1969,Toothpaste,Fmcg,Tata,Patel Suppliers,37.87,44.24,197,14,2023-10-15,2023-02-25,61
4937,Shampoo,Personal Care,Dabur,Verma Distributors,237.43,343.92,37,38,2023-09-08,2023-02-01,70
2113,Toothpaste,Fmcg,Godrej,Agarwal Mart,104.82,157.07,213,47,2023-11-01,2023-01-10,6
879,Pen,Grocery,Itc,Gupta Wholesalers,132.36,179.8,288,26,2023-05-18,2023-02-08,48
19076,Rice,Grocery,Amul,Verma Distributors,72.62,86.68,379,43,2023-12-31,2023-02-06,59
12990,Rice,Electronics,Godrej,Verma Distributors,25.54,33.96,429,16,2024-02-21,2023-02-22,28
7278,Toothpaste,Fmcg,Tata,Verma Distributors,148.89,220.24,129,18,2023-11-17,2023-02-02,94
5710,Wheat Flour,Electronics,Godrej,Agarwal Mart,227.64,294.43,222,43,2024-02-21,2023-02-24,100
12079,Chips,Electronics,Parle,Verma Distributors,87.19,126.1,300,33,2024-02-21,2023-02-04,97
6688,Notebook,Household,Nestle,Sharma Traders,130.4,185.93,396,21,2024-02-21,2023-01-11,62
6419,Detergent,Fmcg,Britannia,Agarwal Mart,50.42,63.58,141,22,2023-07-19,2023-02-10,39
10432,Shampoo,Personal Care,Dabur,Verma Distributors,146.61,177.12,132,34,2023-05-26,2023-01-25,76
9983,Pen,Grocery,Godrej,Patel Suppliers,305.97,421.9,238,44,2023-07-03,2023-02-20,33
19074,Shampoo,Personal Care,Itc,Agarwal Mart,396.62,463.33,187,49,2023-11-09,2023-01-06,11
4630,Rice,Stationery,Dabur,Sharma Traders,248.0,351.87,343,35,2024-02-21,2023-02-20,46
8863,Wheat Flour,Stationery,Britannia,Verma Distributors,132.79,155.94,80,24,2024-02-21,2023-01-27,99
4668,Shampoo,Fmcg,Colgate,Patel Suppliers,309.44,453.78,393,24,2023-08-03,2023-02-06,16
14164,Milk,Grocery,Parle,Agarwal Mart,11.33,13.45,216,28,2023-03-08,2023-02-18,66
386,Rice,Electronics,Amul,Sharma Traders,167.64,214.74,211,35,2024-02-21,2023-02-02,11
4187,Shampoo,Grocery,Godrej,Gupta Wholesalers,174.74,209.19,218,24,2023-11-14,2023-01-02,54
5346,Detergent,Stationery,Parle,Gupta Wholesalers,21.94,24.95,283,49,2024-02-21,2023-03-02,8
2196,Notebook,Electronics,Parle,Sharma Traders,384.57,475.26,476,22,2024-02-21,2023-01-26,58
14991,Shampoo,Beverages,Dabur,Sharma Traders,316.17,399.52,103,10,2023-02-15,2023-01-29,68
12635,Toothpaste,Household,Dabur,Sharma Traders,321.47,375.74,46,45,2024-02-21,2023-01-27,98
1078,Soap,Beverages,Colgate,Sharma Traders,205.35,260.15,111,21,2023-10-16,2023-01-19,17
6287,Pen,Household,Haldiram,Patel Suppliers,412.6,528.61,221,41,2024-02-21,2023-02-07,64
5934,Pen,Personal Care,Britannia,Patel Suppliers,437.41,556.62,255,46,2023-05-25,2023-03-01,79
18513,Toothpaste,Personal Care,Colgate,Gupta Wholesalers,291.02,340.84,24,20,2023-12-02,2023-01-17,88
19718,Soap,Personal Care,Nestle,Patel Suppliers,30.51,33.59,351,10,2023-10-08,2023-02-03,93
13364,Shampoo,Household,Haldiram,Verma Distributors,309.87,437.93,212,21,2024-02-21,2023-01-10,63
8073,Rice,Fmcg,Parle,Agarwal Mart,376.9,497.35,64,44,2023-09-15,2023-02-14,54
17021,Milk,Household,Parle,Verma Distributors,244.93,297.82,118,19,2024-02-21,2023-02-28,74
9544,Shampoo,Fmcg,Godrej,Gupta Wholesalers,259.39,371.16,41,30,2023-07-21,2023-01-15,66
19095,Toothpaste,Electronics,Amul,Patel Suppliers,481.91,553.88,221,12,2024-02-21,2023-02-07,38
13356,Shampoo,Beverages,Britannia,Verma Distributors,169.69,243.82,320,42,2023-04-27,2023-01-17,42
18632,Toothpaste,Electronics,Haldiram,Gupta Wholesalers,312.99,447.57,184,10,2024-02-21,2023-02-15,61
2849,Pen,Personal Care,Colgate,Verma Distributors,283.3,412.86,289,25,2023-08-31,2023-01-23,100
12792,Rice,Electronics,Parle,Verma Distributors,62.97,71.19,219,21,2024-02-21,2023-01-05,18
7723,Detergent,Personal Care,Amul,Verma Distributors,333.44,485.54,277,25,2023-04-10,2023-01-31,78
813,Soap,Fmcg,Dabur,Gupta Wholesalers,73.16,94.59,228,12,2023-08-27,2023-02-06,59
11194,Notebook,Electronics,Britannia,Agarwal Mart,339.14,487.97,493,27,2024-02-21,2023-02-19,80
5136,Detergent,Grocery,Amul,Agarwal Mart,238.87,326.34,343,35,2023-09-13,2023-01-09,47
8511,Toothpaste,Stationery,Itc,Patel Suppliers,156.59,190.69,264,41,2024-02-21,2023-01-06,6
7435,Pen,Personal Care,Amul,Sharma Traders,350.02,509.98,424,18,2023-08-22,2023-02-26,53
16477,Pen,Stationery,Amul,Gupta Wholesalers,117.77,156.28,455,23,2024-02-21,2023-03-01,72
937,Toothpaste,Household,Godrej,Sharma Traders,325.31,418.53,85,25,2024-02-21,2023-02-19,19
11966,Detergent,Fmcg,Parle,Gupta Wholesalers,85.08,115.74,286,14,2023-08-27,2023-01-03,67
1693,Notebook,Personal Care,Colgate,Gupta Wholesalers,362.98,421.59,339,14,2023-06-16,2023-01-20,15
6217,Shampoo,Household,Godrej,Sharma Traders,205.04,280.74,479,50,2024-02-21,2023-02-20,33
9460,Shampoo,Electronics,Colgate,Sharma Traders,183.55,210.73,421,28,2024-02-21,2023-02-07,89
12528,Soap,Stationery,Colgate,Gupta Wholesalers,48.76,64.17,15,23,2024-02-21,2023-01-18,28
15485,Wheat Flour,Grocery,Parle,Verma Distributors,96.26,136.13,188,15,2023-10-15,2023-01-05,44
5793,Toothpaste,Household,Itc,Agarwal Mart,340.31,464.4,206,49,2024-02-21,2023-01-08,94
12267,Toothpaste,Fmcg,Itc,Verma Distributors,93.86,131.62,409,15,2023-12-07,2023-01-10,48
2222,Chips,Personal Care,Parle,Sharma Traders,432.63,639.62,191,16,2023-11-16,2023-01-06,65
15758,Shampoo,Grocery,Nestle,Gupta Wholesalers,375.46,439.01,17,25,2023-11-07,2023-02-05,28
4694,Wheat Flour,Beverages,Nestle,Verma Distributors,391.37,564.99,185,22,2023-06-14,2023-02-18,68
10109,Toothpaste,Household,Nestle,Sharma Traders,152.65,168.67,34,41,2024-02-21,2023-01-05,28
5108,Soap,Personal Care,Parle,Patel Suppliers,188.68,213.28,45,28,2023-06-22,2023-02-27,61
13481,Shampoo,Personal Care,Dabur,Sharma Traders,440.25,515.69,263,33,2023-06-17,2023-01-19,77
4746,Shampoo,Electronics,Dabur,Patel Suppliers,225.79,274.62,211,10,2024-02-21,2023-01-30,36
1605,Notebook,Electronics,Nestle,Verma Distributors,41.79,61.53,239,49,2024-02-21,2023-02-28,84
17396,Notebook,Grocery,Nestle,Verma Distributors,444.51,547.3,84,29,2023-04-19,2023-01-12,99
16864,Notebook,Stationery,Nestle,Gupta Wholesalers,381.6,421.86,488,17,2024-02-21,2023-01-23,77
8214,Shampoo,Fmcg,Itc,Gupta Wholesalers,187.8,274.07,464,22,2023-11-02,2023-01-02,16
1093,Toothpaste,Fmcg,Dabur,Patel Suppliers,283.84,317.76,305,12,2023-02-25,2023-02-19,96
13885,Toothpaste,Grocery,Dabur,Gupta Wholesalers,482.27,577.85,280,33,2023-05-30,2023-02-21,51
6312,Chips,Stationery,Nestle,Sharma Traders,494.11,634.6,18,50,2024-02-21,2023-01-09,30
9013,Detergent,Beverages,Parle,Patel Suppliers,302.89,370.17,252,48,2023-11-08,2023-01-28,92
352,Rice,Grocery,Itc,Verma Distributors,491.81,737.65,117,15,2023-10-24,2023-01-17,58
14783,Shampoo,Household,Britannia,Agarwal Mart,56.13,77.16,411,25,2024-02-21,2023-02-26,8
1531,Pen,Electronics,Nestle,Patel Suppliers,420.58,617.24,357,50,2024-02-21,2023-01-10,76
13592,Notebook,Stationery,Haldiram,Sharma Traders,73.64,101.26,7,21,2024-02-21,2023-01-16,62
15216,Soap,Grocery,Parle,Verma Distributors,342.54,417.23,443,11,2023-05-02,2023-02-26,31
11541,Wheat Flour,Stationery,Dabur,Agarwal Mart,327.8,467.47,109,42,2024-02-21,2023-01-08,15
219,Milk,Personal Care,Godrej,Gupta Wholesalers,460.77,689.01,109,33,2023-11-10,2023-02-02,44
6814,Rice,Stationery,Nestle,Patel Suppliers,203.88,296.87,490,24,2024-02-21,2023-02-18,96
5358,Pen,Stationery,Parle,Agarwal Mart,110.41,154.54,364,24,2024-02-21,2023-01-16,13
15730,Chips,Personal Care,Tata,Gupta Wholesalers,56.83,66.89,412,43,2023-12-11,2023-01-17,15
13044,Pen,Stationery,Amul,Verma Distributors,92.76,136.1,231,40,2024-02-21,2023-02-09,34
1454,Milk,Personal Care,Amul,Gupta Wholesalers,99.2,111.02,339,44,2023-03-06,2023-02-06,23
14933,Detergent,Fmcg,Haldiram,Patel Suppliers,350.78,509.44,56,33,2023-04-07,2023-02-19,75
4741,Rice,Grocery,Colgate,Sharma Traders,198.99,280.52,396,39,2023-03-15,2023-01-20,31
2815,Shampoo,Personal Care,Itc,Verma Distributors,156.17,220.45,78,29,2023-11-10,2023-01-25,13
7887,Milk,Fmcg,Britannia,Verma Distributors,367.11,454.21,464,11,2023-03-14,2023-02-11,44
4974,Toothpaste,Fmcg,Colgate,Patel Suppliers,232.78,324.44,202,31,2023-03-14,2023-01-13,55
1183,Pen,Household,Godrej,Patel Suppliers,326.15,415.67,411,45,2024-02-21,2023-02-01,58
10036,Wheat Flour,Grocery,Itc,Verma Distributors,172.83,211.82,213,23,2023-05-09,2023-02-20,7
3948,Notebook,Stationery,Colgate,Sharma Traders,496.42,618.58,493,11,2024-02-21,2023-02-16,45
3190,Rice,Electronics,Godrej,Sharma Traders,310.97,352.31,294,31,2024-02-21,2023-01-07,95
14481,Chips,Stationery,Amul,Verma Distributors,482.89,614.81,460,35,2024-02-21,2023-02-22,54
19827,Wheat Flour,Grocery,Dabur,Gupta Wholesalers,126.41,183.72,287,24,2023-10-24,2023-02-08,27
9624,Toothpaste,Grocery,Colgate,Sharma Traders,471.21,571.02,256,45,2023-05-06,2023-01-27,86
1007,Notebook,Grocery,Britannia,Patel Suppliers,297.44,331.49,120,45,2023-09-19,2023-02-11,16
2326,Notebook,Personal Care,Amul,Sharma Traders,69.05,82.73,90,14,2023-11-06,2023-02-28,93
10646,Notebook,Stationery,Haldiram,Sharma Traders,166.17,189.14,22,50,2024-02-21,2023-01-24,34
19524,Pen,Personal Care,Itc,Gupta Wholesalers,321.0,420.5,93,31,2023-05-03,2023-02-08,100
17726,Rice,Personal Care,Dabur,Gupta Wholesalers,224.62,260.93,471,10,2023-03-23,2023-02-25,94
5744,Shampoo,Personal Care,Amul,Sharma Traders,78.59,97.27,334,22,2023-09-13,2023-02-28,5
12681,Notebook,Electronics,Godrej,Gupta Wholesalers,358.61,533.04,111,17,2024-02-21,2023-02-02,33
14584,Shampoo,Household,Dabur,Gupta Wholesalers,90.41,131.85,386,29,2024-02-21,2023-02-20,6
19258,Milk,Fmcg,Parle,Gupta Wholesalers,164.27,184.63,295,11,2023-04-17,2023-02-27,38
